Input Filename,Granule Name,ESM,Resolution,External Meteorology,Input Minerology,Time Period,Emissions/concentration scenario
ATBD.L4.CAM6.ALL.VARIABLES.EMIT_base_COUPLED_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-32_EMIT002-B_NONE_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 32,None,EMIT002 Baseline,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.EMIT_base_COUPLED_FUSSP245.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-32_EMIT002-B_NONE_2090-2094_SSP2-4.5,CESM 2.0-CAM6,1.0 x 1.25 x 32,None,EMIT002 Baseline,2090-2094,SSP2-4.5
ATBD.L4.CAM6.ALL.VARIABLES.EMIT_base_COUPLED_FUSSP585.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-32_EMIT002-B_NONE_2090-2094_SSP5-8.5,CESM 2.0-CAM6,1.0 x 1.25 x 32,None,EMIT002 Baseline,2090-2094,SSP5-8.5
ATBD.L4.CAM6.ALL.VARIABLES.EMIT_base_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_EMIT002-B_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,EMIT002 Baseline,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.C1999_base_COUPLED_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-32_C1999-B_NONE_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 32,None,Claquin et al. 1999 Baseline,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.C1999_base_COUPLED_FUSSP245.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-32_C1999-B_NONE_2090-2094_SSP2-4.5,CESM 2.0-CAM6,1.0 x 1.25 x 32,None,Claquin et al. 1999 Baseline,2090-2094,SSP2-4.5
ATBD.L4.CAM6.ALL.VARIABLES.C1999_base_COUPLED_FUSSP585.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-32_C1999-B_NONE_2090-2094_SSP5-8.5,CESM 2.0-CAM6,1.0 x 1.25 x 32,None,Claquin et al. 1999 Baseline,2090-2094,SSP5-8.5
ATBD.L4.CAM6.ALL.VARIABLES.C1999_base_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_C1999-B_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,Claquin et al. 1999 Baseline,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.C1999_HigHemClay_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_C1999-HC_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,Claquin et al. 1999 High Hematite Clay,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.C1999_HigHemSilt_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_C1999-HS_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,Claquin et al. 1999 High Hematite Silt,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.C1999_LowHemClay_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_C1999-LC_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,Claquin et al. 1999 Low Hematite Clay,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.C1999_LowHemSilt_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_C1999-LS_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,Claquin et al. 1999 Low Hematite Silt,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.EMIT_HigHem_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_EMIT002-H_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,EMIT002 High Hematite,2007-2011,Historical
ATBD.L4.CAM6.ALL.VARIABLES.EMIT_LowHem_MERRA2_PD.nc,EMIT_L4_ESM_001_CESM_1.0-1.25-56_EMIT002-L_MERRA2_2007-2011_HISTORICAL,CESM 2.0-CAM6,1.0 x 1.25 x 56,MERRA2,EMIT002 Low Hematite,2007-2011,Historical
BIG_file_v1b_EMIT_PrimePDt_Int_Nu_2007-2011.nc,EMIT_L4_ESM_001_GISS_2.0-2.5-40_EMIT002-B_MERRA2_2007-2011_HISTORICAL,GISS ModelE2.1,2.0 x 2.5 x 40,MERRA2,EMIT002 Baseline,2007-2011,Historical
